destination_sector_id,,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26
destination_sector_name,,Cheshire,Cleveland,Cumbria,Durham,Greater Manchester,Humberside,Lancashire,Merseyside,North Yorkshire,Northumberland,South Yorkshire,Tyne and Wear,West Yorkshire,East Midlands North,East Midlands South,West Midlands North,West Midlands South,EEH,Peninsula Transport,TfSE,Transport East,Western Gateway,London,Scotland,North Wales,South Wales
origin_sector_id,origin_sector_name,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Cheshire,41585.20119698442,27.548393561647675,599.6479225446213,50.858572729195714,52222.822255072126,67.45494498272609,2168.3021716056323,44445.67903715913,313.7664983444889,14.992188300623502,705.405234995519,165.32997085020475,1419.0294371571658,1243.3415872036242,195.1163000498583,6537.544726599495,4465.770858530507,1323.273518486737,292.7338642952655,919.2964287164356,178.9952415601522,528.9648049159222,16941.628288728225,2085.894647802601,6781.519320622456,917.8506826848034
2,Cleveland,27.548393561647675,17686.821246703865,71.55452619571031,5496.013441619588,981.998236060919,62.04825091922514,53.670845831822575,126.37404695677486,3952.6498457420594,96.11240399329704,149.20891236049863,6699.270234740699,988.5932145339807,117.44210914491065,15.249649922694976,15.843792127475298,116.68952901885558,91.26024265425772,18.73528419073954,87.477537283823,40.79776472824889,31.94504587702207,2245.322806085321,422.7321787012003,5.268060882385536,7.44658229991339
3,Cumbria,599.6479225446213,71.55452619571031,29276.674016393,104.41059012006222,4552.9909341922585,32.162898018774854,6457.335528954151,847.2467840167417,946.0724374118688,472.0459816979672,121.58129983821357,2947.1631878521584,1233.1817555018804,145.0103074467177,37.90627266498465,144.8914790057616,808.4492980445864,333.31377688176156,68.10850140798445,361.3176794670742,74.34699455817784,130.65187083119318,4040.6819157503437,6221.362049955566,40.520498366018074,38.5994385705617
4,Durham,50.858572729195714,5496.013441619588,104.41059012006222,6643.9357907354915,1263.0473036621713,107.51993432507925,67.5539686835228,431.56509281226784,5212.7066336401695,729.3689705883254,690.096170852346,16805.609333313845,1667.5789261569346,465.0945179020374,42.06526809844692,117.71937550714146,446.7751332546441,922.5047966222493,107.93583386842548,537.2035768222094,226.9425174859243,217.5550706503952,8243.267582303326,3224.251307421542,15.685354206200545,51.928028697800286
5,Greater Manchester,52222.822255072126,981.998236060919,4552.9909341922585,1263.0473036621713,658791.9073431795,2292.3788687039228,43489.44676804552,45501.25188291201,6870.383189717432,104.23234745862813,15187.819523917502,2744.719133943343,37944.357180311075,20798.383582618735,1095.835882496829,12373.34809513295,10116.51873501505,4548.217991813855,829.7591984560407,3860.102294977444,917.3555641808198,1850.6737489300708,39220.218150856344,6453.968723127064,3507.7561628025533,1942.290476907197
6,Humberside,67.45494498272609,62.04825091922514,32.162898018774854,107.51993432507925,2292.3788687039228,26926.524720644273,146.71351510042126,285.34669621583015,6261.625086699512,22.339746899740174,6437.293131912896,334.14557596845407,6530.771505465,1701.5836650105284,99.34057663927013,51.749786036366196,288.6936973027593,344.64208825290643,58.46359295038385,308.9539464857683,123.26470275175782,99.22174819831405,5142.914729318642,341.6515724888455,17.804461403250368,28.57824004993357
7,Lancashire,2168.3021716056323,53.670845831822575,6457.335528954151,67.5539686835228,43489.44676804552,146.71351510042126,120872.21092154841,25494.978687706396,1652.5669331161516,20.676148726355265,672.0738573073428,274.25604172659746,6501.222833147258,570.9904635340505,159.50737724335758,549.324077799728,2388.253615815308,776.5042521675643,162.24043138534708,830.6306070230519,166.35981733849064,342.3447383944225,7819.82243295639,2831.2856531798357,204.14726156251922,195.37376167192977
8,Merseyside,44445.67903715913,126.37404695677486,847.2467840167417,431.56509281226784,45501.25188291201,285.34669621583015,25494.978687706396,598615.2241737525,1250.5505126216253,20.89400086810805,1800.2310757442215,1012.3589027251935,4100.868521094591,1541.561364523028,338.34418088223504,2398.9877849816726,5185.316677999797,1559.3262164459597,279.5439073491423,1318.4213571476978,345.19662097736807,606.4607531594357,15436.388817657431,2695.0488456237076,4458.859004214895,568.8713563370006
9,North Yorkshire,313.7664983444889,3952.6498457420594,946.0724374118688,5212.7066336401695,6870.383189717432,6261.625086699512,1652.5669331161516,1250.5505126216253,43233.21303986392,639.7921308476119,6594.701206699362,7607.812689550611,46475.52627031079,2920.664445518956,210.66302107494346,265.6805892376014,1189.1954276079773,2276.634100277244,256.53079928398444,1060.7418829344713,566.7522491399508,519.1812632772062,19805.710591611933,4360.013546079608,64.48423395882446,115.85772993216312
10,Northumberland,14.992188300623502,96.11240399329704,472.0459816979672,729.3689705883254,104.23234745862813,22.339746899740174,20.676148726355265,20.89400086810805,639.7921308476119,2410.949848037916,98.37014437146226,11645.266432654982,253.34223611833002,96.48869405632458,8.951742552023543,15.427892584129072,75.25801260550767,189.1946827422144,25.587724285872607,128.0970593506378,46.22426353190919,46.34309197286525,1872.023258821844,3968.0183241057107,3.5846579688412863,6.892049575451755
11,South Yorkshire,705.405234995519,149.20891236049863,121.58129983821357,690.096170852346,15187.819523917502,6437.293131912896,672.0738573073428,1800.2310757442215,6594.701206699362,98.37014437146226,145015.73394552132,1377.0037785390375,26319.31138735878,23214.918367381586,2384.629348366148,757.6303347957095,2635.377163523604,2174.6396884566225,342.02786255187306,1176.2827370240848,591.4289553784936,648.5062165177233,16777.446992807258,1529.3616445848718,91.12160947314231,185.05549204891147
